index,dataset,model,dropout,optim,lr,lr_scheduler,init,transform,noise_type,np,ns,folds,done,epochs,valid,train_loss,validation_loss,correctness-train-auc,correctness-validation-auc
09cfedf83fe,cifar10,xception,drp=0,adam,lr=0.0001,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.7349672956658537,0.6569530646700545
0bb476d621b,cifar10,xception,drp=0.3,sgd,lr=0.1,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.8849430393975612,0.8762964677121999
0f593893c84,cifar10,xception,drp=0,adam,lr=0.0001,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.820224078309365,0.7921658871822908
0f7dffc2e1a,cifar10,xception,drp=0.3,adam,lr=0.0001,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.8605061844944135,0.8030787815110907
0f81495acb9,cifar10,xception,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.9026145080095622,0.8300293305462112
13b9d01a1c4,cifar10,xception,drp=0,sgd,lr=0.1,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.8821576601486948,0.8709577086850715
1b35179c761,cifar10,xception,drp=0,adam,lr=0.001,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.8597088579644119,0.7546082577750719
209dbecb542,cifar10,xception,drp=0.3,sgd,lr=0.01,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.9211334216100229,0.8592887606744105
30c4c3aed23,cifar10,xception,drp=0,sgd,lr=0.1,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.8882368712394867,0.8604457180238855
31b3141d951,cifar10,xception,drp=0.3,sgd,lr=0.01,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.8906018339979791,0.8582153466223803
330cee47da1,cifar10,xception,drp=0.3,adam,lr=0.001,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.9209620998101932,0.8065498623597593
394a2b26a4a,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.862433090741957,0.8191110154110883
3f2546262e3,cifar10,xception,drp=0,sgd,lr=0.1,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.917674987976106,0.904259504328286
4405a17bdc9,cifar10,xception,drp=0.3,adam,lr=0.0001,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.8735042412553469,0.8159665101433374
47298350fc9,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.9282036058566858,0.8852395869434543
49e790887b8,cifar10,xception,drp=0,adam,lr=0.0001,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.7222562600397018,0.6868072034919221
