index,dataset,model,dropout,optim,lr,lr_scheduler,init,transform,noise_type,np,ns,folds,done,epochs,valid,train_loss,validation_loss,entropy-mean-train-auc,entropy-std-train-auc,entropy-mean-validation-auc,entropy-std-validation-auc
09cfedf83fe,cifar10,xception,drp=0,adam,lr=0.0001,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.3577607596921501,0.3726009386017348,0.505869194045828,0.5003275131820113
0bb476d621b,cifar10,xception,drp=0.3,sgd,lr=0.1,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.4901495597104465,0.5122850871293256,0.49745774103470913,0.5018848197984539
0f593893c84,cifar10,xception,drp=0,adam,lr=0.0001,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.27837985350226113,0.2921297919401893,0.4997887469535944,0.49837014609893837
0f7dffc2e1a,cifar10,xception,drp=0.3,adam,lr=0.0001,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.40570014680865124,0.6049047199608654,0.50292314820956,0.5007783857079091
0f81495acb9,cifar10,xception,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.32881648353154636,0.3909740592321427,0.5023348411233587,0.5031191324381561
13b9d01a1c4,cifar10,xception,drp=0,sgd,lr=0.1,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.48877167810328537,0.5145796626057185,0.5003431228002184,0.49954226826610176
1b35179c761,cifar10,xception,drp=0,adam,lr=0.001,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.3694992517839273,0.4225605408746149,0.5042156729171609,0.4989671515952856
209dbecb542,cifar10,xception,drp=0.3,sgd,lr=0.01,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.3709366862605509,0.517873290447406,0.5008096849444166,0.5005583486512579
30c4c3aed23,cifar10,xception,drp=0,sgd,lr=0.1,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.44896229646962255,0.5663107933449094,0.5039264381797975,0.49460161370332223
31b3141d951,cifar10,xception,drp=0.3,sgd,lr=0.01,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.4195343845449061,0.6289811912436616,0.49915686781657065,0.5018419565484581
