index,dataset,model,dropout,optim,lr,lr_scheduler,init,transform,noise_type,np,ns,folds,done,epochs,valid,train_loss,validation_loss,id2m-train-auc,id2m-validation-auc
09cfedf83fe,cifar10,xception,drp=0,adam,lr=0.0001,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.6508941200029015,0.49433616619370435
0bb476d621b,cifar10,xception,drp=0.3,sgd,lr=0.1,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.5112743179503645,0.501474679320066
0f593893c84,cifar10,xception,drp=0,adam,lr=0.0001,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.738069499284264,0.4998605670373654
0f7dffc2e1a,cifar10,xception,drp=0.3,adam,lr=0.0001,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.6624292414574672,0.4971452206701854
0f81495acb9,cifar10,xception,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.7045590489976747,0.4989894812213309
13b9d01a1c4,cifar10,xception,drp=0,sgd,lr=0.1,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.5124467041178358,0.4984090949443683
1b35179c761,cifar10,xception,drp=0,adam,lr=0.001,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.6563945776186353,0.49634715973932714
209dbecb542,cifar10,xception,drp=0.3,sgd,lr=0.01,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.6624304862589192,0.4993458272369729
30c4c3aed23,cifar10,xception,drp=0,sgd,lr=0.1,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.5820145580617805,0.49504047981521565
31b3141d951,cifar10,xception,drp=0.3,sgd,lr=0.01,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.6451499517029037,0.500876485822333
330cee47da1,cifar10,xception,drp=0.3,adam,lr=0.001,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.7360450017228901,0.4999984295981683
394a2b26a4a,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.7455521360120114,0.5004468813212424
3f2546262e3,cifar10,xception,drp=0,sgd,lr=0.1,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.517792965553715,0.49548439073299333
4405a17bdc9,cifar10,xception,drp=0.3,adam,lr=0.0001,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.6441688545585519,0.49823988354700016
47298350fc9,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.7180450567277542,0.4955717108348435
49e790887b8,cifar10,xception,drp=0,adam,lr=0.0001,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.6624955879348537,0.4932135480842824
49f7fe1e317,cifar10,xception,drp=0,sgd,lr=0.1,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.4995884139199259,0.4969387036293039
4c8cf81cc01,cifar10,xception,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.6393949873903133,0.49726036480448954
51cc8650b8b,cifar10,xception,drp=0.3,sgd,lr=0.1,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.49835483648108125,0.5027545632129224
58d76fcb07e,cifar10,xception,drp=0.3,adam,lr=0.0001,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.7331682583674566,0.5007321920540289
5dd6c6ac9b0,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.7421067375932986,0.49970436445517075
6960a05ce66,cifar10,xception,drp=0,sgd,lr=0.01,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.665794971783255,0.49862752559914586
69d24355d7a,cifar10,xception,drp=0,adam,lr=0.001,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.7736190959493136,0.5017308844189036
6b06de2116c,cifar10,xception,drp=0,sgd,lr=0.01,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.6770064368603079,0.4976584140687742
72b975cf810,cifar10,xception,drp=0.3,adam,lr=0.0001,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.7030215864043784,0.4998115093801445
