index,dataset,model,dropout,optim,lr,lr_scheduler,init,transform,noise_type,np,ns,folds,done,epochs,valid,train_loss,validation_loss,loss-mean-train-auc,loss-std-train-auc,loss-mean-validation-auc,loss-std-validation-auc
09cfedf83fe,cifar10,xception,drp=0,adam,lr=0.0001,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.2741451733629302,0.2811563311407447,0.35368505733825084,0.37838720935084097
0bb476d621b,cifar10,xception,drp=0.3,sgd,lr=0.1,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.16607937531498335,0.5041395976284267,0.18115673690121792,0.575988622233129
0f593893c84,cifar10,xception,drp=0,adam,lr=0.0001,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.2066177209989098,0.22131180853809349,0.21772427715359688,0.2648547089265325
0f7dffc2e1a,cifar10,xception,drp=0.3,adam,lr=0.0001,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.18784643110407725,0.24942732613203317,0.2499369571264668,0.333150570986826
0f81495acb9,cifar10,xception,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.13910593505316265,0.14137428169896216,0.2035187469842665,0.24425707370145075
13b9d01a1c4,cifar10,xception,drp=0,sgd,lr=0.1,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.17595692923616227,0.5310377602024435,0.189917055919254,0.53888875175984
1b35179c761,cifar10,xception,drp=0,adam,lr=0.001,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.17090343534176697,0.18377918876004576,0.31592977010048384,0.3286306457147852
209dbecb542,cifar10,xception,drp=0.3,sgd,lr=0.01,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.12519853003156545,0.13095081674103265,0.21140589778383917,0.2686307245308771
30c4c3aed23,cifar10,xception,drp=0,sgd,lr=0.1,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.16264099610445784,0.22345784304122812,0.21382123580108944,0.3198432610651797
31b3141d951,cifar10,xception,drp=0.3,sgd,lr=0.01,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.170100813605589,0.37495879095193374,0.20947232512852004,0.3765857096495717
330cee47da1,cifar10,xception,drp=0.3,adam,lr=0.001,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.10477874781393146,0.11790662872629173,0.2664184011504231,0.28234087652239837
394a2b26a4a,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.16013468438109585,0.16919862295327381,0.1919543598955654,0.263854350959715
