index,dataset,model,dropout,optim,lr,lr_scheduler,init,transform,noise_type,np,ns,folds,done,epochs,valid,train_loss,validation_loss,top_proba-mean-train-auc,top_proba-std-train-auc,top_proba-mean-validation-auc,top_proba-std-validation-auc
09cfedf83fe,cifar10,xception,drp=0,adam,lr=0.0001,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.6506838997577007,0.35979970767037905,0.4943176509721081,0.5036171282190184
0bb476d621b,cifar10,xception,drp=0.3,sgd,lr=0.1,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.5106982060783876,0.5131433569304116,0.5020171479528014,0.5015208073738696
0f593893c84,cifar10,xception,drp=0,adam,lr=0.0001,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.7352923248449676,0.270769866225972,0.49997855437498584,0.49861514158470116
0f7dffc2e1a,cifar10,xception,drp=0.3,adam,lr=0.0001,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.6346095978086348,0.6104568080368209,0.49711521023518124,0.49967568682172114
0f81495acb9,cifar10,xception,drp=0.3,adam,lr=0.0001,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.7004847602454244,0.33733863827178767,0.49848365583133614,0.5036561650645509
13b9d01a1c4,cifar10,xception,drp=0,sgd,lr=0.1,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.5120132396122427,0.5159871746474405,0.49899796763122944,0.4993267696147441
1b35179c761,cifar10,xception,drp=0,adam,lr=0.001,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.6410616661343275,0.40811949363057737,0.4958113799143935,0.4991872622520227
209dbecb542,cifar10,xception,drp=0.3,sgd,lr=0.01,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.6590730695428284,0.48751263743474027,0.4990814357285866,0.5005710542660776
30c4c3aed23,cifar10,xception,drp=0,sgd,lr=0.1,reduceLR,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.5570739449710493,0.5691287918318229,0.49572502941367436,0.4950285694013234
31b3141d951,cifar10,xception,drp=0.3,sgd,lr=0.01,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.6040958422173903,0.6427803481389981,0.5005123333975857,0.5018561485650116
330cee47da1,cifar10,xception,drp=0.3,adam,lr=0.001,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.715263119882903,0.35473134335863893,0.5003110275627825,0.49981797658768784
394a2b26a4a,cifar10,xception,drp=0,sgd,lr=0.01,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.7377220204789647,0.29084099203693314,0.5000507320591738,0.5022030145695962
3f2546262e3,cifar10,xception,drp=0,sgd,lr=0.1,reduceLR,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.5131526521412535,0.5302997241415982,0.497373889736905,0.49900514043959576
4405a17bdc9,cifar10,xception,drp=0.3,adam,lr=0.0001,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.6248853552662783,0.5203328277162103,0.4975980403983543,0.5003612188213256
47298350fc9,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.7002696687945418,0.5528803776796726,0.4961137794671124,0.500111640930218
49e790887b8,cifar10,xception,drp=0,adam,lr=0.0001,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.6615985988886057,0.35164353495701917,0.49324833932486295,0.5048080448081035
49f7fe1e317,cifar10,xception,drp=0,sgd,lr=0.1,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.49927678555644267,0.49769865731571394,0.49693869482929365,0.500461287738046
4c8cf81cc01,cifar10,xception,drp=0,adam,lr=0.001,none,kaiming_normal,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.6045645579641004,0.628856600698339,0.4982336443397227,0.5014862009335047
51cc8650b8b,cifar10,xception,drp=0.3,sgd,lr=0.1,none,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.4986827464635555,0.498215649918734,0.49986446464191153,0.4997194140727246
58d76fcb07e,cifar10,xception,drp=0.3,adam,lr=0.0001,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.7349672996658583,0.26423967620915834,0.5008667482109751,0.5012624838725612
5dd6c6ac9b0,cifar10,xception,drp=0.3,sgd,lr=0.01,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.7336424965206079,0.30374403268703976,0.4996217427588008,0.503690925105095
6960a05ce66,cifar10,xception,drp=0,sgd,lr=0.01,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.6499488557003452,0.44072385166030054,0.4980545737308548,0.5053543414453039
69d24355d7a,cifar10,xception,drp=0,adam,lr=0.001,none,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.7620496360546954,0.31241722200344774,0.5018013989011516,0.4970775349912368
6b06de2116c,cifar10,xception,drp=0,sgd,lr=0.01,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.6738024075231281,0.4627614309649331,0.4979273711824857,0.4985958183621625
72b975cf810,cifar10,xception,drp=0.3,adam,lr=0.0001,reduceLR,pretrain,intermediate,idn,np=0.5,ns=undefined,3,True,100,False,,,0.689022124475406,0.5586238307788362,0.500528371816293,0.4954614195061997
72f3c99d312,cifar10,xception,drp=0.3,adam,lr=0.0001,none,kaiming_normal,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.6660364552649215,0.347520797348258,0.497864316708939,0.5028580713336545
768fa417f5b,cifar10,xception,drp=0.3,sgd,lr=0.1,reduceLR,pretrain,default,idn,np=0.5,ns=undefined,3,True,100,False,,,0.5017159460014794,0.492850867661252,0.4964601614711323,0.49692687561550775
